1	0.099833417
2	0.198669331
3	0.295520207
4	0.389418342
5	0.479425539
6	0.564642473
7	0.644217687
8	0.717356091
9	0.78332691
10	0.841470985
11	0.89120736
12	0.932039086
13	0.963558185
14	0.98544973
15	0.997494987
16	0.999573603
17	0.99166481
18	0.973847631
19	0.946300088
20	0.909297427
21	0.863209367
22	0.808496404
23	0.745705212
24	0.675463181
25	0.598472144
26	0.515501372
27	0.42737988
28	0.33498815
29	0.239249329
30	0.141120008
31	0.041580662
32	-0.058374143
33	-0.157745694
34	-0.255541102
35	-0.350783228
36	-0.442520443
37	-0.529836141
38	-0.611857891
39	-0.687766159
40	-0.756802495
41	-0.818277111
42	-0.871575772
43	-0.916165937
44	-0.951602074
45	-0.977530118
46	-0.993691004
47	-0.999923258
48	-0.996164609
49	-0.982452613
50	-0.958924275
51	-0.925814682
52	-0.883454656
53	-0.832267442
54	-0.772764488
55	-0.705540326
56	-0.631266638
57	-0.550685543
58	-0.464602179
59	-0.373876665
60	-0.279415498
61	-0.182162504
62	-0.083089403
63	0.0168139
64	0.116549205
